IPH,99.9807390205587,4.412774722929708
BTU,113.16871911067395,3.515286679750661
JHB,102.26953494590481,1.7111690116254463
MZV,114.41022611351383,3.975441777701623
BBN,115.1973586507048,3.8240940363414415
KUA,101.7520930361422,3.5959166375480924
KBR,100.66024869706376,6.017798422306512
SDK,118.24367795186464,6.190437720554451
LDU,118.66316689408978,5.321100310860581
LBU,115.0708833010921,5.503543400507098
BKI,116.21826037164215,6.221125505604238
KUL,100.70928670628145,2.7488208293489107
AOR,99.37741046831955,5.493264264215941
BKM,115.15083481462278,4.312827834500226
SBW,111.41302055828956,2.64530130888262
MYY,113.78353741915826,4.238989127035323
LMN,114.78281622016732,4.82847747569042
MKM,112.31668893084034,2.9393808708661826
LGK,98.09106846071535,5.752581754124637
KCH,109.76059839133954,1.3464499101218816
TWU,117.96185079917447,4.622962816115157
TGG,101.69736234355665,4.802277611011328
PEN,98.35509820656426,4.693905413953603
SZB,100.01488969332696,3.4187243449463747
